Genre,user_id,item_id,Season
Rap,12572,2953,Summer
Rap,31098,1545,Summer
Classical,23468,4926,Daily
Rap,98202,18,Christmas
Rap,28873,63,get-together
Rap,82759,6,Christmas
Rap,54140,115,Christmas
Rap,6685,3014,get-together
Rap,66936,1972,Summer
Hard rock,35616,5663,office
Rap,96631,3794,other
Rap,14544,2795,get-together
Rap,32494,5380,Daily
Hard rock,84105,3260,other
Rap,95056,17,Summer
Hard rock,23383,2947,Summer
Rap,24172,2207,Summer
Rap,18916,689,Christmas
Rap,87903,2052,Summer
Rap,43578,1077,holiday
Hard rock,77921,4708,Daily
Rap,74948,3519,office
Hard rock,41788,4465,Daily
Rap,17539,16,Christmas
Rap,49611,4,Christmas
Rap,55644,3798,Summer
Hard rock,104895,1547,Christmas
Hard rock,10786,44,get-together
Rap,42329,2039,Christmas
Rap,19235,1243,Summer
Rap,75328,2624,other
Classical,40655,3490,get-together
Rap,8551,137,get-together
Classical,29031,2252,Christmas
Rap,21217,3355,other
Rap,58089,1292,get-together
Rap,13462,5504,Daily
Rap,86403,5255,Daily
Hard rock,22311,3975,other
Hard rock,47354,1923,Christmas
Rap,60123,1180,get-together
Hard rock,73851,153,Summer
Rap,44813,4341,Summer
Rap,13096,938,Christmas
Classical,13680,3499,office
Classical,24698,43,Summer
Rap,65593,89,Summer
Rap,34152,3272,get-together
Classical,16732,1362,Christmas
Rap,12366,617,Christmas
Rap,14658,683,office
Rap,4942,43,Christmas
Rap,81841,764,holiday
Hard rock,43060,4209,other
Rap,100774,2182,Summer
Rap,588,901,Summer
Rap,63347,1,Summer
Rap,102944,5372,Daily
Rap,68527,17,Christmas
Rap,30270,4041,Daily
Hard rock,32967,77,get-together
Rap,61266,252,Christmas
Classical,69899,4979,office
Rap,49596,1072,Christmas
Rap,49816,1109,Summer
Hard rock,24657,3054,other
Hard rock,33652,74,Christmas
Rap,44753,3527,Summer
Rap,35025,52,Summer
Rap,49440,47,Christmas
Rap,13797,1965,office
Rap,58115,1313,Christmas
Rap,50449,1876,Summer
Rap,27694,230,get-together
Classical,100312,2895,Summer
Rap,5968,3104,get-together
Rap,58358,97,Summer
Rap,9856,2723,Daily
Hard rock,90496,3896,Summer
Rap,56226,2852,Summer
Rap,61288,1053,Christmas
Rap,20873,213,other
Rap,28257,1770,Christmas
Rap,7666,1079,other
Rap,86151,5175,Summer
Rap,98567,1750,Daily
Rap,17740,704,Daily
Hard rock,71915,2189,office
Classical,31153,1189,get-together
Rap,63007,3235,Summer
Rap,80427,15,get-together
Rap,99980,224,Summer
Classical,93824,2162,Summer
Rap,31916,2994,Summer
Rap,39171,3797,Christmas
Rap,39580,2042,Daily
Rap,46928,386,Christmas
Rap,46840,1284,Daily
Hard rock,82058,506,Summer
Rap,32982,2460,Christmas
Classical,75291,744,Summer
Rap,41143,1449,get-together
Rap,2889,5539,office
Rap,63893,3866,other
Rap,73811,2281,other
Rap,43815,1359,other
Rap,18722,3171,office
Hard rock,42843,3489,Summer
Rap,79587,82,Summer
Rap,94234,3809,get-together
Rap,57137,3620,other
Rap,62730,63,get-together
Rap,38912,4551,other
Rap,23968,2490,Daily
Rap,22681,4038,Summer
Rap,90359,63,Summer
Rap,18937,2686,Summer
Rap,26060,3762,Christmas
Rap,43836,795,Summer
Rap,54447,455,Summer
Hard rock,94997,3798,get-together
Hard rock,6220,91,Christmas
Rap,82237,100,Summer
Rap,36034,2453,Daily
Rap,75891,82,Summer
Rap,50875,4073,office
Rap,68667,5828,Daily
Rap,90925,4112,Daily
Classical,43511,3541,other
Rap,97277,111,get-together
Hard rock,99475,3475,get-together
Rap,54445,47,Christmas
Rap,45168,863,holiday
Rap,44247,989,holiday
Rap,93554,57,other
Rap,17871,2408,get-together
Rap,18776,5583,office
Rap,64174,3619,Summer
Rap,42077,3203,office
Classical,28108,2369,Summer
Rap,13269,39,Christmas
Classical,50133,2384,get-together
Rap,71836,3624,Christmas
Rap,20727,7,get-together
Rap,59295,129,get-together
Rap,79232,4040,Daily
Classical,58780,2460,Christmas
Rap,62513,80,Summer
Hard rock,4268,1572,Summer
Hard rock,72766,844,Daily
Rap,86379,3270,holiday
Rap,2846,264,Summer
Classical,92636,523,Christmas
Rap,74162,1539,Summer
Rap,65388,1638,Summer
Rap,57971,100,Summer
Rap,5118,2794,Christmas
Rap,38216,73,Summer
Rap,75224,1654,holiday
Rap,8421,2151,Summer
Rap,33555,2790,other
Rap,47315,1243,get-together
Rap,16647,2003,office
Rap,42333,37,Christmas
Hard rock,86568,4740,Daily
Hard rock,47705,3809,office
Classical,55180,3080,get-together
Rap,41882,978,Summer
Rap,44968,1676,Summer
Rap,27938,122,Summer
Rap,90049,27,other
Classical,88085,2473,Summer
Rap,16744,1226,get-together
Rap,88299,527,Daily
Rap,33713,98,Christmas
Rap,87997,317,Summer
Rap,27037,688,Christmas
Hard rock,74206,33,Christmas
Rap,72981,2599,Summer
Rap,101249,3511,office
Rap,61081,97,get-together
Rap,76739,3837,get-together
Rap,40113,5019,Christmas
Classical,98442,2767,holiday
Rap,80660,1503,Christmas
Hard rock,17309,3104,other
Rap,29357,88,get-together
Classical,38301,97,Summer
Rap,54261,2843,other
Rap,92408,62,Christmas
Rap,76519,98,Summer
Classical,23509,100,Summer
Rap,14269,1606,Christmas
Rap,35539,2385,Christmas
Rap,98232,18,Summer
Rap,27417,3633,get-together
